No.,Tax Code,Company Name,Issuance Date
110,9000001313,RTB HOUSE PTE. LTD.,11/09/2024
111,9000001320,TAZAPAY PTE. LTD.,16/09/2024
112,9000001345,Adobe Systems Software Ireland Limited,04/10/2024
113,9000001352,QI INTELLILEARN SOLUTIONS LIMITED,07/10/2024
114,9000001377,PyWave Network Technology Limited,07/10/2024
115,9000001338,"Ksher (Hong Kong) Co., Limited",09/10/2024
116,9000001384,FREYJA LABS,28/10/2024
117,9000001391,"Kodi Co., Ltd.",06/12/2024
118,9000001401,"Xsolla (USA), Inc.",06/12/2024
119,9000001419,EA Swiss Sàrl Limited Liability Company,06/12/2024
120,9000001426,Midjourney Inc.,17/12/2024
121,9000001433,SENDINBLUE,20/12/2024
122,9000001440,"DigitalOcean,LLC",20/12/2024
123,9000001458,"DLG Asia Pacific Co., Ltd.",23/12/2024
124,9000001465,WHALET PTE.LTD.,28/12/2024
125,9000001472,TRANSWAP PRIVATE LIMITED,31/12/2024
126,9000001497,CRITEO SINGAPORE PTE. LTD.,20/01/2025
127,9000001507,Directix OU,20/01/2025
128,9000001514,The Organized Notebook LLC,04/02/2025
129,9000001521,Pearson Education Limited,06/02/2025
130,9000001546,Traffic Control OÜ,12/02/2025
131,9000001553,Web Technologies s.r.o.,26/02/2025
132,9000001560,NCS Pearson Inc,27/02/2025
133,9000001578,Amazon Web Services Inc.,10/03/2025
134,9000001585,HONG KONG FORTUNETECH LIMITED,11/03/2025
135,9000001592,DouDou Co Limited,19/03/2025
136,9000001602,"Servicios Comerciales Amazon Mexico, S. de R.L. de C.V.",20/03/2025
137,9000001627,Amazon Commercial Services PTY LTD,20/03/2025
138,9000001634,Amazon Turkey Perakende Hizmetleri Limited Şirketi,01/04/2025
139,9000001641,Amazon.com Services LLC,01/04/2025
140,9000001659,"KTown4U Co., Ltd",01/04/2025
141,9000001666,Amazon.com.ca ULC,01/04/2025
142,9000001673,Afaq Qtech General Trading Co.,01/04/2025
143,9000001680,Amazon Japan G.K.,01/04/2025
144,9000001698,Amazon EU S.à r.l.,01/04/2025
145,9000001708,Souq.com FZ-LLC,01/04/2025
146,9000001715,"Xian Xinkaituo E-commerce Co., Ltd.",01/04/2025
147,9000001722,Ipaylinks Limited,01/04/2025
148,9000001747,Nanonoble PTE. LTD.,01/04/2025
149,9000001761,Networklessons B.V.,09/04/2025
150,9000001779,Mega Privacy Limited Liability Company,09/04/2025
151,9000001793,Meitu (China) Limited,14/04/2025
152,9000001803,"SPIGEN KOREA CO., LTD",14/04/2025
153,9000001810,Advanced Plus Technologies Pte. Ltd.,16/04/2025
154,9000001835,BMI GLOBALED LTD,26/04/2025
155,9000001867,AW Fintech Pty Ltd,08/05/2025
156,9000001874,FASHION CHOICE PTE.LTD.,08/05/2025
157,9000001881,Phantom Security Group LLC,13/05/2025
158,9000001842,1GLOBAL Operations (Netherlands) BV,16/05/2025
159,9000001916,ENVISION ENERGY INTERNATIONAL LIMITED,17/06/2025
160,9000001923,Neon Commerce Inc,18/06/2025
161,9000001930,Hong Kong Energy Cube Limited,23/06/2025
162,9000001948,Association of Certified Anti-Money Laundering Specialists LLC,27/06/2025
163,9000001909,Doo Holding Group Limited,04/07/2025
164,9000002028,Blackmagic Design Asia Pte Ltd,31/07/2025
165,9000002035,VIET GREENWIND TECH PTE. LTD.,31/07/2025
166,9000002042,"OpenAI, L.L.C.",01/08/2025
167,9000002003,BrightMarket LLC DBA FastSpring,04/08/2025
168,9000002010,THE CONSTANT COMPANY LLC,04/08/2025
169,9000001987,THE CHARTERED INSTITUTE OF TAXATION,05/08/2025
170,9000001994,PPG Digital Sp. z o.o.,05/08/2025
171,9000002074,MAINFUNC PTE. LTD.,21/08/2025
172,9000002081,1688. COM PTE. LTD.,21/08/2025
173,9000002099,HONG KONG SEEGAN LIMITED,21/08/2025
174,9000002109,"VideoGen, Inc.",21/08/2025
175,9000002116,"GoDaddy.com, LLC",21/08/2025
176,9000002123,TeamViewer Germany GmbH,26/08/2025
177,9000002211,Squarespace Ireland Limited,17/09/2025
178,9000002236,Digi-Key Corporation,17/09/2025
179,9000002130,Knowledge Collective Ltd,17/09/2025
180,9000002229,POWER OF FIVE LLC,17/09/2025
181,8951198958,Ng Bin Xi,26/09/2025
182,9000002162,CRM AND CLOUD CONSULTING COMPANY LIMITED,26/09/2025
183,9000002194,GetYourGuide Tours & Tickets GmbH,26/09/2025
184,9000002148,"Mixpanel, Inc",26/09/2025
185,9000002275,INMOBI PTE. LTD.,26/09/2025
186,9000002268,WIX.COM LTD.,26/09/2025
187,9000002282,Butterfly Effect Pte. Ltd.,26/09/2025
188,9000002324,Insight Media Group,20/10/2025
189,9000002331,Drama Rewards Co Limited,20/10/2025
190,9000002349,YOUAPP PTE. LTD.,20/10/2025
191,9000002363,HB STORE,21/10/2025
192,9000002405,Earnreels Co Limited,22/10/2025
193,9000002437,TRUESIGHT PTE.LTD,23/10/2025
194,9000003014,"JUPITER EXPRESS CO., LTD.",29/10/2025
